Bank-leitzahl;Bezeichnung;PLZ;Ort;BIC
10000000;Bundesbank;10591;Berlin;MARKDEF1100
10010010;Postbank Ndl der DB Privat- und Firmenkundenbank;10559;Berlin;PBNKDEFFXXX
10010123;OLINDA Zweigniederlassung Deutschland;10785;Berlin;QNTODEB2XXX
10010424;Aareal Bank;10666;Berlin;AARBDE5W100
10011001;N26 Bank;10179;Berlin;NTSBDEB1XXX
10017997;Holvi Payment Services Zweigniederlassung Deutschland;12059;Berlin;HOLVDEB1XXX
10019610;Landesbank Hessen-Thüringen Girozentrale;60311;Frankfurt am Main;DXIADEBBXXX
10019670;Landesbank Hessen-Thüringen Giroz - Deckung Pfandbriefbank;10969;Berlin;DXIADEB2COV
10020200;BHF-BANK;10117;Berlin;BHFBDEFF100
10020500;Bank für Sozialwirtschaft;10178;Berlin;BFSWDE33BER
10020510;Bank für Sozialwirtschaft;10178;Berlin;BFSWDE33BER
10020520;Bank für Sozialwirtschaft;10178;Berlin;BFSWDE33BER
10020890;UniCredit Bank - HypoVereinsbank;10896;Berlin;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;14532;Kleinmachnow;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;16515;Oranienburg;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;14776;Brandenburg an der Havel;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;15711;Königs Wusterhausen;HYVEDEMM488
10030200;Berlin Hyp;10787;Berlin;BHYPDEB2XXX
10030400;ABK Allgemeine Beamten Bank;10115;Berlin;ABKBDEB1XXX
10030500;M.M. Warburg & Co (vormals Bankhaus Löbbecke);20095;Hamburg;LOEBDEBBXXX
10030600;North Channel Bank;55118;Mainz;GENODEF1OGK
10030700;Eurocity Bank;60311;Frankfurt am Main;DLGHDEB1XXX
10030730;Eurocity Bank Gf GAA;60311;Frankfurt am Main;DLGHDEB1XXX
10031000;EIS Einlagensicherungsbank;10178;Berlin;EIEGDEB1XXX
10033300;Santander Consumer Bank;10439;Berlin;SCFBDE33XXX
10040000;Commerzbank, Filiale Berlin 1;10891;Berlin;COBADEBBXXX
10040005;Commerzbank, Filiale Berlin 3;10891;Berlin;COBADEBBXXX
10040010;Commerzbank, CC SP;10877;Berlin;COBADEFFXXX
10040048;Commerzbank GF-B48;10891;Berlin;COBADEFFXXX
10040060;Commerzbank Gf 160;10891;Berlin;COBADEFFXXX
10040061;Commerzbank Gf 161;10891;Berlin;COBADEFFXXX
10040062;Commerzbank CC;10783;Berlin;COBADEFFXXX
10040063;Commerzbank CC;10783;Berlin;COBADEFFXXX
10040085;Commerzbank, Gf Web-K;10877;Berlin;COBADEFFXXX
10045050;Commerzbank Service-BZ;10785;Berlin;COBADEFFXXX
10050000;Landesbank Berlin - Berliner Sparkasse;10889;Berlin;BELADEBEXXX
10050020;LBB S-Kreditpartner, Berlin;10715;Berlin;SKPADEB1XXX
10050500;LBS Ost Berlin;10405;Berlin;LBSODEB1BLN
10050999;DekaBank;60040;Frankfurt am Main;DGZFDEFFBER
10060198;Pax-Bank;14005;Berlin;GENODED1PA6
10061006;Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;10117;Berlin;GENODED1KDB
10070000;Deutsche Bank Fil Berlin;10883;Berlin;DEUTDEBBXXX
10070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 700;10883;Berlin;DEUTDEDBBER
10070100;Deutsche Bank Fil Berlin II;10883;Berlin;DEUTDEBB101
10070124;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) Berlin;10883;Berlin;DEUTDEDB101
10070848;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 848;10623;Berlin;DEUTDEDB110
10077777;norisbank;10625;Berlin;NORSDE51XXX
10080000;Commerzbank vormals Dresdner Bank Filiale Berlin I;10877;Berlin;DRESDEFF100
10080005;Commerzbank vormals Dresdner Bank Zw A;10623;Berlin;DRESDEFFI26
10080006;Commerzbank vormals Dresdner Bank Zw B;10623;Berlin;DRESDEFFXXX
10080055;Commerzbank vormals Dresdner Bank Zw 55;10623;Berlin;DRESDEFF112
10080057;Commerzbank vormals Dresdner Bank Gf ZW 57;10877;Berlin;DRESDEFF114
10080085;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;10877;Berlin;DRESDEFFI53
